SpeciesNum,CommonName,SciName,Size_0to1,Incidence0to1_cur,IncidenceChangeCategory_lo,IncidenceChangeCategory_hi,AvgIncidenceChange,ChangeInMeanCtrNeg1to1_lo,ChangeInMeanCtrNeg1to1_hi
6480,   Northern Parula,   Parula americana,0.052083333,0.13,-2.00,0.00,-0.36,-0.872307063,-0.740144835
6860,   Canada Warbler,   Wilsonia canadensis,0.065972222,0.14,-2.00,-3.00,-0.75,-0.337619669,-0.059643086
7220,   Winter Wren,   Troglodytes troglodytes,0.045138889,0.14,-2.00,-3.00,-0.74,-0.342416314,0.117094472
6290,   Blue-headed Vireo,   Vireo solitarius,0.065972222,0.15,-2.00,-3.00,-0.68,-0.581386344,-0.636119835
7550,   Wood Thrush,   Hylocichla mustelina,0.097222222,0.15,3.00,3.00,0.83,-0.853400372,-0.789766219
4280,   Ruby-throated Hummingbird,   Archilochus colubris,0.041666667,0.15,0.00,1.00,0.23,-0.891108918,-0.699402958
2010,   Green Heron,   Butorides virescens,0.347222222,0.16,3.00,3.00,1.21,-0.790948056,-0.553560193
6670,   Black-throated Green Warbler,   Dendroica virens,0.059027778,0.16,-2.00,-3.00,-0.66,-0.54076769,-0.417792543
5060,   Orchard Oriole,   Icterus spurius,0.083333333,0.16,2.00,3.00,1.20,-0.570139195,-0.2535093
6750,   Northern Waterthrush,   Seiurus noveboracensis,0.069444444,0.16,-2.00,-3.00,-0.73,-0.546929508,-0.383311105
3750,   Great Horned Owl,   Bubo virginianus,0.763888889,0.16,0.00,2.00,0.34,-0.952747994,-0.574216129
1720,   Canada Goose,   Branta canadensis,0.819444444,0.16,0.00,-1.00,-0.22,-0.570352488,-0.916444497
2210,   American Coot,   Fulica americana,0.347222222,0.17,-1.00,0.00,-0.12,-0.797626269,-0.456445503
6710,   Pine Warbler,   Dendroica pinus,0.065972222,0.18,-1.00,-2.00,-0.34,-0.951643198,-0.744366408
3870,   Yellow-billed Cuckoo,   Coccyzus americanus,0.152777778,0.18,3.00,3.00,1.50,-0.705831566,-0.352260561
6620,   Blackburnian Warbler,   Dendroica fusca,0.059027778,0.18,-2.00,-3.00,-0.77,-0.380688257,-0.406324842
2140,   Sora,   Porzana carolina,0.173611111,0.19,-1.00,0.00,-0.23,-0.824258565,-0.459795603
5930,   Northern Cardinal,   Cardinalis cardinalis,0.107638889,0.19,3.00,3.00,1.80,-0.807744121,-0.73718357
6420,   Golden-winged Warbler,   Vermivora chrysoptera,0.059027778,0.20,-1.00,-2.00,-0.47,-0.531047078,0.415918806
2881,   Gray Partridge,   Perdix perdix,0.138888889,0.21,0.00,0.00,0.04,-0.891163545,-0.572134964
5870,   Eastern Towhee,   Pipilo erythrophthalmus,0.100694444,0.21,1.00,2.00,0.49,-0.769743332,-0.84939581
7280,   Red-breasted Nuthatch,   Sitta canadensis,0.055555556,0.21,-1.00,-3.00,-0.62,-0.653730754,-0.466235658
5630,   Field Sparrow,   Spizella pusilla,0.069444444,0.23,3.00,3.00,1.68,-0.75803919,-0.687911169
1900,   American Bittern,   Botaurus lentiginosus,0.625,0.23,-2.00,-1.00,-0.46,-0.642205165,-0.043985648
6550,   Yellow-rumped Warbler,   Dendroica coronata,0.065972222,0.25,-2.00,-3.00,-0.72,-0.393093217,-0.095203283
4050,   Pileated Woodpecker,   Dryocopuc pileatus,0.208333333,0.25,0.00,-1.00,-0.17,-0.961926869,-0.808721583
3310,   Northern Harrier,   Circus cyaneus,0.583333333,0.25,-1.00,-1.00,-0.41,-0.233876746,0.082507448
4020,   Yellow-bellied Sapsucker,   Sphyrapicus varius,0.107638889,0.26,-1.00,-2.00,-0.54,-0.60837904,-0.677908697
5170,   Purple Finch,   Carpodacus purpureus,0.076388889,0.26,-2.00,-3.00,-0.67,-0.452630649,0.01335605
7590,   Hermit Thrush,   Catharus guttatus,0.083333333,0.27,-2.00,-3.00,-0.77,-0.281285356,0.170581122
70,   Common Loon,   Gavia immer,0.805555556,0.27,-1.00,-3.00,-0.67,-0.358525793,-0.710846697
6280,   Yellow-throated Vireo,   Vireo flavifrons,0.069444444,0.28,1.00,0.00,0.22,-0.865357114,-0.907818786
6450,   Nashville Warbler,   Vermivora ruficapilla,0.055555556,0.29,-1.00,-3.00,-0.61,-0.681724192,-0.369299871
5010,   Eastern Meadowlark,   Sturnella magna,0.118055556,0.29,3.00,3.00,0.79,-0.886835815,-0.865026788
6160,   Bank Swallow,   Riparia riparia,0.065972222,0.30,0.00,-1.00,-0.14,-0.910248193,0.067901015
6360,   Black-and-white Warbler,   Mniotilta varia,0.0625,0.31,-1.00,-2.00,-0.58,-0.646510333,-0.356980529
6870,   American Redstart,   Setophaga ruticilla,0.0625,0.34,0.00,-1.00,-0.18,-0.908891211,-0.303146685
5580,   White-throated Sparrow,   Zonotrichia albicollis,0.079861111,0.34,-2.00,-3.00,-0.71,-0.410676791,-0.00064638
