Country,State,Route,Year,Aou,SpeciesTotal
840,50,001,1989,04050,1                                                                                                                                                                                                                                        
840,50,001,1990,05950,12                                                                                                                                                                                                                                       
840,50,001,1990,04050,2                                                                                                                                                                                                                                        
840,50,001,1990,04090,19                                                                                                                                                                                                                                       
840,50,001,1990,04670,2                                                                                                                                                                                                                                        
840,50,001,1990,06740,1                                                                                                                                                                                                                                        
840,50,001,1990,01940,1                                                                                                                                                                                                                                        
840,50,001,1990,06870,1                                                                                                                                                                                                                                        
840,50,001,1991,04670,1                                                                                                                                                                                                                                        
840,50,001,1991,01440,2                                                                                                                                                                                                                                        
840,50,001,1991,05950,5                                                                                                                                                                                                                                        
840,50,001,1991,04050,4                                                                                                                                                                                                                                        
840,50,001,1991,07510,1                                                                                                                                                                                                                                        
840,50,001,1991,01940,5                                                                                                                                                                                                                                        
840,50,001,1991,04090,6                                                                                                                                                                                                                                        
840,50,001,1993,04050,2                                                                                                                                                                                                                                        
840,50,001,1993,06870,2                                                                                                                                                                                                                                        
840,50,001,1993,01940,2                                                                                                                                                                                                                                        
840,50,001,1993,05950,8                                                                                                                                                                                                                                        
840,50,001,1993,01440,2                                                                                                                                                                                                                                        
840,50,001,1993,04090,3                                                                                                                                                                                                                                        
840,50,001,1998,04670,2                                                                                                                                                                                                                                        
840,50,001,1998,06410,1                                                                                                                                                                                                                                        
840,50,001,1998,01940,6                                                                                                                                                                                                                                        
840,50,001,1998,04090,11                                                                                                                                                                                                                                       
840,50,001,1998,05950,7                                                                                                                                                                                                                                        
840,50,001,1998,06870,1                                                                                                                                                                                                                                        
840,50,001,1998,01440,1                                                                                                                                                                                                                                        
840,50,001,1999,01940,7                                                                                                                                                                                                                                        
840,50,001,1999,01440,2                                                                                                                                                                                                                                        
840,50,001,1999,04090,9                                                                                                                                                                                                                                        
840,50,001,1999,06870,1                                                                                                                                                                                                                                        
840,50,001,1999,04670,1                                                                                                                                                                                                                                        
840,50,001,2000,06870,6                                                                                                                                                                                                                                        
840,50,001,2000,04670,4                                                                                                                                                                                                                                        
840,50,001,2000,04050,1                                                                                                                                                                                                                                        
840,50,001,2000,04090,7                                                                                                                                                                                                                                        
840,50,001,2000,06410,1                                                                                                                                                                                                                                        
840,50,001,2000,05950,5                                                                                                                                                                                                                                        
840,50,001,2000,01940,5                                                                                                                                                                                                                                        
840,50,001,2001,05950,8                                                                                                                                                                                                                                        
840,50,001,2001,04670,4                                                                                                                                                                                                                                        
840,50,001,2001,06740,1                                                                                                                                                                                                                                        
840,50,001,2001,01940,2                                                                                                                                                                                                                                        
840,50,001,2001,06870,2                                                                                                                                                                                                                                        
840,50,001,2001,04090,7                                                                                                                                                                                                                                        
840,50,001,2002,04670,1                                                                                                                                                                                                                                        
840,50,001,2002,06410,3                                                                                                                                                                                                                                        
840,50,001,2002,01940,2                                                                                                                                                                                                                                        
840,50,001,2002,04090,4                                                                                                                                                                                                                                        
840,50,001,2002,07510,1                                                                                                                                                                                                                                        
840,50,001,2002,01440,2                                                                                                                                                                                                                                        
840,50,001,2002,06870,2                                                                                                                                                                                                                                        
840,50,001,2002,05950,7                                                                                                                                                                                                                                        
840,50,001,2003,04050,2                                                                                                                                                                                                                                        
840,50,001,2003,05950,6                                                                                                                                                                                                                                        
840,50,001,2003,01940,1                                                                                                                                                                                                                                        
840,50,001,2003,04670,1                                                                                                                                                                                                                                        
840,50,001,2003,06410,2                                                                                                                                                                                                                                        
840,50,001,2003,04090,20                                                                                                                                                                                                                                       
840,50,001,2004,06410,1                                                                                                                                                                                                                                        
840,50,001,2004,04090,8                                                                                                                                                                                                                                        
840,50,001,2004,05950,5                                                                                                                                                                                                                                        
840,50,001,2004,01940,2                                                                                                                                                                                                                                        
840,50,001,2004,06740,1                                                                                                                                                                                                                                        
840,50,001,2004,06870,1                                                                                                                                                                                                                                        
840,50,001,2005,01940,3                                                                                                                                                                                                                                        
