Country,State,Route,Active,Latitude,Longitude,Stratum,Bcr,LandType,RouteType,RouteTypeDetail
840,50,063,1,45.9187187,-93.0208129,20,23,0,1,1                                                                                                                                                                                                                
840,50,064,1,45.2573787,-94.8259589,40,23,0,1,1                                                                                                                                                                                                                
840,50,065,1,45.5994247,-95.2156759,40,23,0,1,1                                                                                                                                                                                                                
840,50,066,1,45.6583777,-96.1336199,40,11,0,1,1                                                                                                                                                                                                                
840,50,067,1,46.5918377,-92.7409299,28,12,0,1,1                                                                                                                                                                                                                
840,50,068,1,46.3901207,-93.0960859,28,12,0,1,1                                                                                                                                                                                                                
840,50,069,1,46.3731723,-94.1041272,20,12,0,1,1                                                                                                                                                                                                                
840,50,070,1,46.1225194,-95.8646727,40,23,0,1,1                                                                                                                                                                                                                
840,50,071,1,47.7885297,-90.8706119,28,12,0,1,1                                                                                                                                                                                                                
840,50,072,1,47.5532344,-91.3425740,28,12,0,1,1                                                                                                                                                                                                                
840,50,073,1,47.7622203,-92.0002907,28,12,0,1,1                                                                                                                                                                                                                
840,50,074,1,47.7963921,-93.9058145,28,12,0,1,1                                                                                                                                                                                                                
840,50,075,1,47.5569137,-94.0772169,28,12,0,1,1                                                                                                                                                                                                                
840,50,076,0,47.4325657,-95.5935279,20,12,0,1,1                                                                                                                                                                                                                
840,50,077,1,47.4408422,-96.5804582,40,11,0,1,1                                                                                                                                                                                                                
840,50,078,1,48.3033800,-92.5689762,28,12,0,1,1                                                                                                                                                                                                                
840,50,080,1,48.4244641,-94.9500610,28,12,0,1,1                                                                                                                                                                                                                
840,50,081,1,48.7854856,-95.3086167,30,12,0,1,1                                                                                                                                                                                                                
840,50,082,1,48.7754769,-96.3165607,30,12,0,1,1                                                                                                                                                                                                                
840,50,102,1,43.8976300,-92.0910250,17,23,0,1,1                                                                                                                                                                                                                
840,50,139,1,47.2878002,-94.4892239,28,12,0,1,1                                                                                                                                                                                                                
840,50,140,1,47.5992113,-94.8850010,28,12,0,1,1                                                                                                                                                                                                                
840,50,153,1,43.5007917,-91.2948909,17,23,0,1,1                                                                                                                                                                                                                
840,50,179,1,48.1329177,-93.3426069,28,12,0,1,1                                                                                                                                                                                                                
840,50,900,1,45.5088447,-93.7211369,20,23,0,1,2                                                                                                                                                                                                                
840,50,902,1,47.0742867,-95.5729459,20,12,0,1,2                                                                                                                                                                                                                
840,50,903,1,44.0565767,-91.9895539,17,23,0,1,2                                                                                                                                                                                                                
840,50,904,0,45.2773329,-96.4527912,40,11,0,1,2                                                                                                                                                                                                                
